# 0:r (cm)
#                      1:eta nue number (1/(s cm^3))
#                      2:eta nua number (1/(s cm^3))
#                      3:eta nux number (1/(s cm^3))
#                      4:eta nue energy (MeV/(s cm^3))
#                      5:eta nua energy (MeV/(s cm^3))
#                      6:eta nux energy (MeV/(s cm^3))
5.470000000000000000e+05 2.922687189566268145e+33 2.922687189566268145e+33 2.510577319545487365e+33 3.708922761887794441e+35 3.708922761887794441e+35 3.185950723424271832e+35
7.023000000000000000e+05 4.632241416262247054e+33 4.632241416262247054e+33 3.979077979964430008e+33 5.669982658825195453e+35 5.669982658825195453e+35 4.870493810038987507e+35
8.158000000000000000e+05 8.128722678442479727e+33 8.128722678442479727e+33 6.982542252974149203e+33 9.630613285966949850e+35 9.630613285966949850e+35 8.272660644415449277e+35
9.073000000000000000e+05 1.416934690525297320e+34 1.416934690525297320e+34 1.217141577795031956e+34 1.623717050212599291e+36 1.623717050212599291e+36 1.394766848185353488e+36
9.850000000000000000e+05 3.081792779900102931e+35 3.081792779900102931e+35 2.647248424113574596e+35 3.498503698858233578e+37 3.498503698858233578e+37 3.005201538520763856e+37
1.056000000000000000e+06 7.731600372535858164e+37 7.731600372535858164e+37 6.641415683612230658e+37 9.104902192684553770e+39 9.104902192684553770e+39 7.821076789619099641e+39
1.140000000000000000e+06 9.004677535412131395e+40 9.004677535412131395e+40 7.734984185420596005e+40 1.246083637561333839e+43 1.246083637561333839e+43 1.070381164938312201e+43
1.255000000000000000e+06 1.569898170321686932e+42 1.569898170321686932e+42 1.348536632478444794e+42 2.483214104287280126e+44 2.483214104287280126e+44 2.133071589753088818e+44
1.392000000000000000e+06 2.185077351376014051e+42 2.185077351376014051e+42 1.876973238669188071e+42 3.456038603610089989e+44 3.456038603610089989e+44 2.968724181182310314e+44
1.526000000000000000e+06 1.030162062771899375e+42 1.030162062771899375e+42 8.849053430980195648e+41 1.483917893556750194e+44 1.483917893556750194e+44 1.274679897640417880e+44
1.640000000000000000e+06 2.524779356402666293e+41 2.524779356402666293e+41 2.168775985219907523e+41 3.122608989755263877e+43 3.122608989755263877e+43 2.682309395091923602e+43
1.738000000000000000e+06 5.408968671044383995e+40 5.408968671044383995e+40 4.646283774785821609e+40 5.719427031911623546e+42 5.719427031911623546e+42 4.912966340829514490e+42
1.825000000000000000e+06 1.429013869465309932e+40 1.429013869465309932e+40 1.227517547140566715e+40 1.322920157465286429e+42 1.322920157465286429e+42 1.136383446972571036e+42
1.903000000000000000e+06 4.370151384469502461e+39 4.370151384469502461e+39 3.753943626946149077e+39 3.584329538345047199e+41 3.584329538345047199e+41 3.078925612316879554e+41
1.969000000000000000e+06 1.247439585529642179e+39 1.247439585529642179e+39 1.071545919150761541e+39 9.020858667926400946e+40 9.020858667926400946e+40 7.748883717481335811e+40
2.026000000000000000e+06 3.826785976808475655e+38 3.826785976808475655e+38 3.287194782400179733e+38 2.456207965876707734e+40 2.456207965876707734e+40 2.109873418281255375e+40
2.076000000000000000e+06 1.433161776899053154e+38 1.433161776899053154e+38 1.231080584048487018e+38 8.341285479672993455e+39 8.341285479672993455e+39 7.165132900941364438e+39
2.123000000000000000e+06 7.787553692345268425e+37 7.787553692345268425e+37 6.689479375193136999e+37 4.200740621399764724e+39 4.200740621399764724e+39 3.608420417699491059e+39
2.169000000000000000e+06 6.253699491379134393e+37 6.253699491379134393e+37 5.371904377026256684e+37 3.187317735323114759e+39 3.187317735323114759e+39 2.737893964517910348e+39
2.219000000000000000e+06 6.256590632425057346e+37 6.256590632425057346e+37 5.374387856326885648e+37 3.057829447716761996e+39 3.057829447716761996e+39 2.626664011763528385e+39
2.271000000000000000e+06 4.993039766485541789e+37 4.993039766485541789e+37 4.289002407810729508e+37 2.322465166536759313e+39 2.322465166536759313e+39 1.994988855925738503e+39
2.322000000000000000e+06 2.316860922481198222e+37 2.316860922481198222e+37 1.990174831329018735e+37 9.905853621931872061e+38 9.905853621931872061e+38 8.509091059331032962e+38
2.372000000000000000e+06 1.199164582172923245e+37 1.199164582172923245e+37 1.030077872566430698e+37 4.744269919435769564e+38 4.744269919435769564e+38 4.075310043462068157e+38
2.420000000000000000e+06 5.811311527094879945e+36 5.811311527094879945e+36 4.991894777115302654e+36 2.120117225421673085e+38 2.120117225421673085e+38 1.821172734435278721e+38
2.466000000000000000e+06 3.148954751425445130e+36 3.148954751425445130e+36 2.704940305423838210e+36 1.066718790965809751e+38 1.066718790965809751e+38 9.163074353260423865e+37
2.511000000000000000e+06 1.822787241734434666e+36 1.822787241734434666e+36 1.565767395084956855e+36 5.759991020478168402e+37 5.759991020478168402e+37 4.947810654668171335e+37
2.555000000000000000e+06 1.196090420242354133e+36 1.196090420242354133e+36 1.027437179013234419e+36 3.554945152116465007e+37 3.554945152116465007e+37 3.053684534900999297e+37
2.597000000000000000e+06 8.625583475843626125e+35 8.625583475843626125e+35 7.409343811957175388e+35 2.427928785507284980e+37 2.427928785507284980e+37 2.085581708547739955e+37
2.639000000000000000e+06 6.832315465310252991e+35 6.832315465310252991e+35 5.868933325613042258e+35 1.835473341355617312e+37 1.835473341355617312e+37 1.576664707016297243e+37
2.681000000000000000e+06 5.986048922617253995e+35 5.986048922617253995e+35 5.141993543634350269e+35 1.548400468592869311e+37 1.548400468592869311e+37 1.330070187429040467e+37
2.724000000000000000e+06 5.752491568382855294e+35 5.752491568382855294e+35 4.941368653482849146e+35 1.445481846986514299e+37 1.445481846986514299e+37 1.241663477985001871e+37
