# 0:r (cm)
#                      1:eta nue number (1/(s cm^3))
#                      2:eta nua number (1/(s cm^3))
#                      3:eta nux number (1/(s cm^3))
#                      4:eta nue energy (MeV/(s cm^3))
#                      5:eta nua energy (MeV/(s cm^3))
#                      6:eta nux energy (MeV/(s cm^3))
5.470000000000000000e+05 1.807192415367667012e+31 1.807192415367667012e+31 2.510444476184280336e+33 2.293347405906555213e+33 2.293347405906555213e+33 3.185782143711771354e+35
7.023000000000000000e+05 4.006978785065894116e+31 4.006978785065894116e+31 3.978804189748407503e+33 4.904645113236870134e+33 4.904645113236870134e+33 4.870158683771268782e+35
8.158000000000000000e+05 9.806185084914793892e+31 9.806185084914793892e+31 6.981901638092994013e+33 1.161800938465853067e+34 1.161800938465853067e+34 8.271901667337536991e+35
9.073000000000000000e+05 2.363070584204162360e+32 2.363070584204162360e+32 1.216992872164881915e+34 2.707928618083080772e+34 2.707928618083080772e+34 1.394596440989628827e+36
9.850000000000000000e+05 2.746491947649603566e+34 2.746491947649603566e+34 2.646286701006058557e+35 3.117864478236579747e+36 3.117864478236579747e+36 3.004109774054682038e+37
1.056000000000000000e+06 2.430419746767274018e+37 2.430419746767274018e+37 6.627262114234488918e+37 2.862115605469048834e+39 2.862115605469048834e+39 7.804409235858888466e+39
1.140000000000000000e+06 7.935189216583183598e+40 7.935189216583183598e+40 7.626669947641322681e+40 1.098085900894494306e+43 1.098085900894494306e+43 1.055392443922940147e+43
1.255000000000000000e+06 1.515197748085343123e+42 1.515197748085343123e+42 1.315155354265454070e+42 2.396690747183216889e+44 2.396690747183216889e+44 2.080270164511188586e+44
1.392000000000000000e+06 2.124297468116366352e+42 2.124297468116366352e+42 1.825340992245959782e+42 3.359905794977033092e+44 3.359905794977033092e+44 2.887059778447361491e+44
1.526000000000000000e+06 1.000683587121668498e+42 1.000683587121668498e+42 8.605935314014125180e+41 1.441455023807449043e+44 1.441455023807449043e+44 1.239659454056712002e+44
1.640000000000000000e+06 2.448898474045713261e+41 2.448898474045713261e+41 2.112629405076478790e+41 3.028760660079443438e+43 3.028760660079443438e+43 2.612868152452135809e+43
1.738000000000000000e+06 5.255344981810033991e+40 5.255344981810033991e+40 4.536501564016819446e+40 5.556985809862674647e+42 5.556985809862674647e+42 4.796882964851295900e+42
1.825000000000000000e+06 1.392498082053901698e+40 1.392498082053901698e+40 1.200878957941090503e+40 1.289115397228533675e+42 1.289115397228533675e+42 1.111722576024124541e+42
1.903000000000000000e+06 4.266983043310948986e+39 4.266983043310948986e+39 3.677889124560779755e+39 3.499712485043231044e+41 3.499712485043231044e+41 3.016546903791407142e+41
1.969000000000000000e+06 1.220195221559241555e+39 1.220195221559241555e+39 1.051473184582547801e+39 8.823841065049721562e+40 8.823841065049721562e+40 7.603727748631929641e+40
2.026000000000000000e+06 3.749047601539278216e+38 3.749047601539278216e+38 3.229919290511226489e+38 2.406311886569507909e+40 2.406311886569507909e+40 2.073111362530105146e+40
2.076000000000000000e+06 1.407672205554184755e+38 1.407672205554184755e+38 1.210950690513544745e+38 8.192931124450041329e+39 8.192931124450041329e+39 7.047972932431958302e+39
2.123000000000000000e+06 7.653127192694130657e+37 7.653127192694130657e+37 6.580160452779396037e+37 4.128228651661158382e+39 4.128228651661158382e+39 3.549451907662451190e+39
2.169000000000000000e+06 6.133338053830713687e+37 6.133338053830713687e+37 5.277308745590792936e+37 3.125973223154612329e+39 3.125973223154612329e+39 2.689681488978595282e+39
2.219000000000000000e+06 6.109870336268456275e+37 6.109870336268456275e+37 5.269069616394051565e+37 2.986121760811332369e+39 2.986121760811332369e+39 2.575191055585237868e+39
2.271000000000000000e+06 4.865148832267885564e+37 4.865148832267885564e+37 4.200276009166883548e+37 2.262977909529508337e+39 2.262977909529508337e+39 1.953718611777927574e+39
2.322000000000000000e+06 2.262798236096301507e+37 2.262798236096301507e+37 1.950213913074461247e+37 9.674705928714415547e+38 9.674705928714415547e+38 8.338236174177328138e+38
2.372000000000000000e+06 1.172598753779135275e+37 1.172598753779135275e+37 1.009641921510908379e+37 4.639167198418809048e+38 4.639167198418809048e+38 3.994459033259537983e+38
2.420000000000000000e+06 5.691021915418054213e+36 5.691021915418054213e+36 4.895222001990169203e+36 2.076232454046697127e+38 2.076232454046697127e+38 1.785903997796998477e+38
2.466000000000000000e+06 3.085486123609247082e+36 3.085486123609247082e+36 2.652881341717612226e+36 1.045218584302723799e+38 1.045218584302723799e+38 8.986722899501043044e+37
2.511000000000000000e+06 1.786331236298656764e+36 1.786331236298656764e+36 1.535541047485416929e+36 5.644790376571545443e+37 5.644790376571545443e+37 4.852295672574299952e+37
2.555000000000000000e+06 1.171542073658590022e+36 1.171542073658590022e+36 1.007162916556248347e+36 3.481984091477968288e+37 3.481984091477968288e+37 2.993426639833504600e+37
2.597000000000000000e+06 8.439661838148783524e+35 8.439661838148783524e+35 7.258016788853005053e+35 2.375595572655986946e+37 2.375595572655986946e+37 2.042986186001503576e+37
2.639000000000000000e+06 6.673628454027361785e+35 6.673628454027361785e+35 5.743599529856125912e+35 1.792842730941331005e+37 1.792842730941331005e+37 1.542994300248526019e+37
2.681000000000000000e+06 5.831327675145366299e+35 5.831327675145366299e+35 5.026063611343369114e+35 1.508379002817411196e+37 1.508379002817411196e+37 1.300082801124016611e+37
2.724000000000000000e+06 5.579512857025459056e+35 5.579512857025459056e+35 4.822943562127762566e+35 1.402015883723481284e+37 1.402015883723481284e+37 1.211905708200104957e+37
