# Abscissas and weights for Gauss-Legendre integration from x1 = -1.000 to x2 = 1.000
-9.9823770971055925e-01 	 4.5212770985330990e-03
-9.9072623869945697e-01 	 1.0498284521405594e-02
-9.7725994998377430e-01 	 1.6421058381504910e-02
-9.5791681921379168e-01 	 2.2245849194125134e-02
-9.3281280827867652e-01 	 2.7937006980016339e-02
-9.0209880696887434e-01 	 3.3460195282546436e-02
-8.6595950321225945e-01 	 3.8782167974471607e-02
-8.2461223083331170e-01 	 4.3870908185673137e-02
-7.7830565142651942e-01 	 4.8695807635072211e-02
-7.2731825518992710e-01 	 5.3227846983936788e-02
-6.7195668461417957e-01 	 5.7439769099391573e-02
-6.1255388966798030e-01 	 6.1306242492928952e-02
-5.4946712509512818e-01 	 6.4804013456601084e-02
-4.8307580168617870e-01 	 6.7912045815233926e-02
-4.1377920437160498e-01 	 7.0611647391286808e-02
-3.4199409082575849e-01 	 7.2886582395804089e-02
-2.6815218500725369e-01 	 7.4723169057968331e-02
-1.9269758070137111e-01 	 7.6110361898107978e-02
-1.1608407067525521e-01 	 7.7039818163928131e-02
-3.8772417506050823e-02 	 7.7505947978420905e-02
3.8772417506050823e-02 	 7.7505947978420905e-02
1.1608407067525521e-01 	 7.7039818163928131e-02
1.9269758070137111e-01 	 7.6110361898107978e-02
2.6815218500725369e-01 	 7.4723169057968331e-02
3.4199409082575849e-01 	 7.2886582395804089e-02
4.1377920437160498e-01 	 7.0611647391286808e-02
4.8307580168617870e-01 	 6.7912045815233926e-02
5.4946712509512818e-01 	 6.4804013456601084e-02
6.1255388966798030e-01 	 6.1306242492928952e-02
6.7195668461417957e-01 	 5.7439769099391573e-02
7.2731825518992710e-01 	 5.3227846983936788e-02
7.7830565142651942e-01 	 4.8695807635072211e-02
8.2461223083331170e-01 	 4.3870908185673137e-02
8.6595950321225945e-01 	 3.8782167974471607e-02
9.0209880696887434e-01 	 3.3460195282546436e-02
9.3281280827867652e-01 	 2.7937006980016339e-02
9.5791681921379168e-01 	 2.2245849194125134e-02
9.7725994998377430e-01 	 1.6421058381504910e-02
9.9072623869945697e-01 	 1.0498284521405594e-02
9.9823770971055925e-01 	 4.5212770985330990e-03
